id,title,author,description,genres,coverUrl
Dvt4rPSKJf8C,Fantasy Football Tips,Sam Hendricks,"From the award winning author of Fantasy Football Guidebook (and three other fantasy football books) comes the ultimate step by step guide to success; including methods of drafting, ranking players, creating cheat sheets and drafting like an expert. Finally, an easy to use and understand book, with tips on how to win your fantasy football league every year, is available at a great price. With over 200 winning ways, from how to pick a fantasy league to roster management tools, Fantasy Football Tips provides the key techniques to make you a consistent fantasy football owner. Written for all fantasy football players (whether a beginner or expert), Fantasy Football Tips is your ticket to this years League Championship.",Games & Activities,https://books.google.com/books/content?id=Dvt4rPSKJf8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
FXuXz0SNjbEC,Fantasy Football and Mathematics,Dan Flockhart,"Student create fantasy sports teams by picking real-life professional football players, and then follow their players' statistics and calculate their teams' total points using algebraic or nonalgebraic methods specifically designed to complement the math skills they are learning.",Education,https://books.google.com/books/content?id=FXuXz0SNjbEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nylovyea3TQC,Japanese Fantasy Manga,ricorico,"Adventuring through the world of Japanese fantasy manga is not for the fainthearted. It requires bravery, intellect, and above all, knowledge. Who is your hero? What is his or her role? What superpowers are possessed? Who is the enemy that needs to be conquered? From elves to ninjas, sirens to sorcerers, this authentic guide to Japanese fantasy manga will guide you through heroes, superpowers, secondary characters, and enemies, so that you can conquer the world of Japanese fantasy manga or create your very own manga stories. Stunning full page illustrations of fantasy characters are featured along with background information on them and their superpowers, and mini illustrations highlighting their defining physical traits. Special sections throughout the book offer additional insight into Japanese fantasy manga, and a bonus manga shows how the featured components of manga can be pulled together to create one’s own manga story.",Comics & Graphic Novels,https://books.google.com/books/content?id=Nylovyea3TQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
VqRDCgAAQBAJ,How Fantasy Sports Explains the World,AJ Mass,"Shows how skills and information learned from life, literature, history, and popular culture are used in fantasy sports.",Games & Activities,https://books.google.com/books/content?id=VqRDCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
RZgIkR_0Q54C,Rhetorics of Fantasy,Farah Mendlesohn,Examining fantasy literature,Language Arts & Disciplines,https://books.google.com/books/content?id=RZgIkR_0Q54C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
4WSF_v7OYbAC,Fantasy Football For Dummies,Martin Signore,"Packed with expert advice and timely tips The fun and easy way to guide your American football team to glory in fantasy football Fantasy football can be an addictive hobby. But if you've never played American football before, how do you start? Have no fear! This friendly guide explains the game to you from start to finish -- from scouting and drafting your players to building your coaching skills to planning your strategy. And who knows, perhaps even to tasting victory in your league championship! Understand the basics of the game Pick the league right for you Assemble your dream team in the draft Develop your in-season management skills Know which quick fixes work and what common mistakes to avoid",Games & Activities,https://books.google.com/books/content?id=4WSF_v7OYbAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
abgHAQAAMAAJ,Fantasy on two old Scottish themes,Jean Langlais,Music Books and Printed Music.,"Folk songs, English",https://books.google.com/books/content?id=abgHAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7K9RaPBVo-oC,Dreams and Visions,"Morton Jerry Weiss, Helen S. Weiss",A collection of fourteen science fiction and fantasy short stories by young adult fiction authors.,Juvenile Fiction,https://books.google.com/books/content?id=7K9RaPBVo-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
mu71BN95gkAC,"Catalog of Copyright Entries, Third Series",Library of Congress. Copyright Office,Includes index.,Copyright,https://books.google.com/books/content?id=mu71BN95gkAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
J2wfAQAAIAAJ,Rhetorics of Fantasy,Farah Mendlesohn,"Transcending arguments over the definition of fantasy literature, Rhetorics of Fantasy introduces a provocative new system of classification for the genre. Utilizing nearly two hundred examples of modern fantasy, author Farah Mendlesohn uses this system to explore how fiction writers construct their fantastic worlds. Mendlesohn posits four categories of fantasy—portal-quest, immersive, intrusion, and liminal—that arise out of the relationship of the protagonist to the fantasy world. Using these sets, Mendlesohn argues that the author’s stylistic decisions are then shaped by the inescapably political demands of the category in which they choose to write. Each chapter covers at least twenty books in detail, ranging from nineteenth-century fantasy and horror to extensive coverage of some of the best books in the contemporary field. Offering a wide-ranging discussion and penetrating comparative analysis, Rhetorics of Fantasy will excite fans and provide a wealth of material for scholarly and classroom discussion. Includes discussion of works by over 100 authors, including Lloyd Alexander, Peter Beagle, Marion Zimmer Bradley, John Crowley, Stephen R. Donaldson, Stephen King, C. S. Lewis, Gregory Maguire, Robin McKinley, China Miéville, Suniti Namjoshi, Philip Pullman, J. K. Rowling, Sheri S. Tepper, J. R. R. Tolkien, Tad Williams",Language Arts & Disciplines,https://books.google.com/books/content?id=J2wfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
IQAvDwAAQBAJ,The Classic Fantasy Collection,"Robert E. Howard, H. P. Lovecraft, G. G. Pendarves, H. G. Wells, William Morris, Lafcadio Hearn, Abraham Merritt, Arthur Machen, Ernest Bramah, Robert W. Chambers, George MacDonald","Epic romances, fearsome dragons and alien worlds lie between the pages of this volume. Containing more than 35 stories from the early masters of fantasy literature, the narratives here transport the reader to alternate worlds where magic abounds, cosmic terrors lie around the corner and intrepid heroes fight for justice. Drawing inspiration from Norse, Japanese and Chinese mythology as well as from traditional fairytales and modern fears, the authors collected here span the breadth of the genre. Including tales from William Morris, H. G. Wells, Robert E. Howard and H. P. Lovecraft amongst others, they demonstrate the plethora of imaginative literature that was written in the late 19th and early 20th centuries. Many of these tales were foundational works, bringing ideas of the supernatural into the mainstream, and through their efforts creating entirely new genres. Before Tolkien, there were many writers embracing the realm of fantastic fiction. The man responsible for its origin was George MacDonald (1824-1905), a Calvinist minister and Celtic scholar, who wrote the first true fantasy novel. He was followed by a number of imaginative successors at the end of the 19th century, including H. G. Wells, Arthur Machen, and Ernest Bramah. After the end of World War I, the pulp magazines opened up the genre to a new generation of writers - particularly H. P. Lovecraft and Robert E. Howard - who provided exciting, magical and horrifying tales that fascinated a multitude of readers. By the outbreak of World War II, the outlines of the fantasy genre had been sketched out by these pioneers, and an entirely new type of fiction had been created. This collection includes stories by: Robert E. Howard H. P. Lovecraft G. G. Pendarves H. G. Wells William Morris Lafcadio Hearn Abraham Merritt Arthur Machen Ernest Bramah Robert W. Chambers George MacDonald",Fiction,https://books.google.com/books/content?id=IQAvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
xMgSAAAAIAAJ,The International Journal of Psycho-analysis,Ernest Jones,Include abstracts and book reviews.,Electronic journals,https://books.google.com/books/content?id=xMgSAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
-QpqVGhf3pMC,Fantasy Freaks and Gaming Geeks,Ethan Gilsdorf,"Fantasy. Science fiction. Role-playing games. People around the globe turn away from the “real” world to inhabit others. Movie fan-freaks design costumes and collect Lord of the Rings action figures. Some attend comic book conventions and Renaissance fairs, others play live-action role-playing games (LARPs). The online game World of Warcraft (WoW) has lured twelve million users worldwide. Even old-school role-playing games such as Dungeons & Dragons (D&D) are still wildly popular. What could one man find if he embarked on a journey through fantasy world after fantasy world? In an enthralling blend of travelogue, pop culture analysis, and memoir, forty- year-old former D&D addict Ethan Gilsdorf crisscrosses America, the world, and other worlds—from Boston to New Zealand, and Planet Earth to the realm of Aggramar. On a quest that begins in his own geeky teenage past and ends in our online gaming future, he asks gaming and fantasy geeks how they balance their escapist urges with the kingdom of adulthood. He speaks to grown men who build hobbit holes, and to grown women who play massively multiplayer online games. He seeks out those who dream of elves, long swords, and heroic deeds, and mentally inhabit faraway magical lands. What lures them—old, young, male, female, able-bodied, and disabled—into fantasy worlds, and for what reasons, whether healthy, unhealthy, or in between? Our noble hero battles online goblins, trolls, and sorcerers for weeks on end. He travels to pilgrimage sites: Tolkien’s hometown, movie locations, and castles. He hangs out with Harry Potter tribute bands. He LARPs. He goes to fan conventions and gaming tournaments. He camps with medieval re-enactors—12,000 of them. He becomes Ethor, Ethorian, and Ethor-An3. He sews his own tunic. He even plays D&D. What he discovers is funny, poignant, and enlightening.",Social Science,https://books.google.com/books/content?id=-QpqVGhf3pMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
LxhJvgAACAAJ,Immortaland,Blaine Hart,"Discover The Greatest Fantasy Kingdom To Exist And That Will Ever Exist! At long last the wait is over! Immortaland has arrived! This is where True Epic Fantasy Is Created! Prepare to travel through the most powerful fantasy kingdom of all time and experience it in the first person as the all-powerful ruler and greatest hero of all time! The wonders within are so mind boggling that it may take you weeks to fully digest the utter magnitude of it all. You will never forgive yourself if you miss your chance to read this brilliant masterpiece by the master of fantasy himself: Blaine ""Lord"" Hart. Take some action now and be prepared to be amazed and entertained! What are you waiting for? If you are still reading this you are obviously motivated to get all the benefits this book has to offer. Stop thinking and take ACTION. Buy It Now",,https://books.google.com/books/content?id=LxhJvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
HmrOAQAACAAJ,Immortaland,Blaine Hart,"Discover The Greatest Fantasy Kingdom To Exist And That Will Ever Exist! At long last the wait is over! IMMORTALAND, the greatest fantasy kingdom in existence has arrived! Prepare to travel through the most powerful fantasy kingdom of all time and experience it in the first person view as the all-powerful ruler and greatest hero in existence! The wonders within are so mind boggling that it may take you weeks to fully digest the utter magnitude of it all. From the throne room to the treasure room to the hall of heroes and much more... there is so much to discover! You will never forgive yourself if you miss your chance to read this brilliant masterpiece by the master of fantasy himself: -Lord- Hart. See what is truly possible for yourself. Buy It Now!",Fiction,https://books.google.com/books/content?id=HmrOAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
fkyiDwAAQBAJ,Sword & Magic,"Patty Jansen, Kyra Halland, Elizabeth Baxter, Ashley Capes, Sam Ferguson, Victoria Goddard, Demelza Carlton, Vincent Trigili","Eight complete epic fantasy novels in one set. All the magic, dragons, castles and quests you will ever need! Innocence Lost by Patty Jansen Beneath The Canyons by Kyra Halland The Last Priestess by Elizabeth Baxter Book Of Never by Ashley Capes Stargazy Pie by Victoria Goddard The Dragon’s Champion by Sam Ferguson Float: The Enchanted Horse by Demelza Carlton The Silverleaf Chronicles by Vincent Trigili",Fiction,https://books.google.com/books/content?id=fkyiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
cBzdDQAAQBAJ,Fantasy Books,"I.G. Harding, fantasy books","Hear What the Critics are Saying ""Wow, what an amazing and Entertaining Book; great cast of characters, very good story with a lot of eerie twists and turns. Population Zero is by far one of the best zombie books to have come out in a long time."" -Mary Jones – Valley Daily News “A must read in the horror genre. Population Zero is a book that will leave you begging for more; Five Stars All The Way.” -Judy B. Cohen – Elite Media Group “Deliciously entertaining and very fun read. I bought it for a friend as a gift and she loved it as well. It’s by far one of the finest zombie apocalypse books to have come out in the last decade. Highly Recommend This Book.” -Dave Baker – Book Bloggers of America “Very interesting story. I highly recommend this book to any zombie lover out there. Can’t Go Wrong.” -Carl Mosner – Readers Cove Unlimited “Population Zero is an extremely well developed post-apocalyptic zombie tale. I really had a lot of fun reading this story. If you’re looking for a phenomenal zombie book, then look no further than this one. Ten Thumbs Up.” -Debra Eisner – Literary Times Inc. “My favorite zombie book this year; so far I have read more than eight. Once I started reading, I simply couldn’t put it down. Great Read.” -Emma Righter – Writers United Group “This story reminded me why I fell in love with reading zombie books in the first place; thank you Mr. Harding for making such an amazing and fun book. Keep up with the great story telling. Awesome Book!” -Lee Ratner – Daily Media Trends, Inc. Editorial Review Population Zero is an amazing book and a really interesting read. By the end of the book, you will feel like you have gone on an emotional rollercoaster which is not only fun, but also frightening. This zombie book is definitely one of a kind in the horror genre. If you are looking for a book that will leave you biting your nails at the edge of your seat, then look no further than Population Zero. This book is chock-full of amazing characters and terrifying zombies. Five Stars! Jim S. Stein About the Book When a scientist unleashes the deadliest virus the world has ever seen, a small group must band together to survive the zombie apocalypse; their tale is one of redemption, joy and tears. Come and join us in the town of Steel Valley. A world filled with chaos, where even the dead don’t know their rightful place. (fantasy books, fantasy books free, fantasy books for free, dark fantasy, free fantasy books, urban fantasy, free fantasy books for adults) [fantasy books]",Comics & Graphic Novels,https://books.google.com/books/content?id=cBzdDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
oUFGHAAACAAJ,Treasures of Fantasy,"Margaret Weis, Tracy Hickman","Here be dragons--and elves, wizards, and unicorns and all the wonders of fantasy! Here they are, collected in one indispensable volume--the most acclaimed stories of our time by the world-famous authors who have made fantasy the most exciting and popular genre in all literature. Known for their bestselling Dragonlance Chronicles and Legends, noted authors Margaret Weis and Tracy Hickman have brought together their own personal favorites--the immortal treasures of fantasy that inspired them--into an authoritative collection of imaginative excellence that is an essential addition to every bookshelf. Treasures of Fantasy also includes a new story by Margaret Weis and Tracy Hickman, original to this edition. If you truly love great fantasy, here's the one book you must have.",Fiction,https://books.google.com/books/content?id=oUFGHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
0qZPEAAAQBAJ,Putting the Fact in Fantasy,Dan Koboldt,"A collection of essays from historians, linguists, martial artists, and other experts to help you write more compelling fantasy by getting the facts right Whether it's correctly naming the parts of a horse, knowing how lords and ladies address one another, or building a realistic fantasy army, getting the details right takes fantasy writing to the next level. Featuring some of the most popular articles from Dan Koboldt’s Fact in Fantasy blog as well as several never-before-seen essays, this book gives aspiring and established fantasy writers alike an essential foundation to the fascinating history and cultures of our own world, which serve as a jumping-off point for more inspired and convincing fantasy.",Language Arts & Disciplines,https://books.google.com/books/content?id=0qZPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
geE2AQAAIAAJ,Astonishing Fantasy Worlds,Christopher Hart,"A guide to drawing fantasy worlds that covers barbarians, Vikings, the Medieval world, wild creatures, faerie realms, and gothic characters.",Art,https://books.google.com/books/content?id=geE2AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1_KmBsGozhkC,Fantasy and Your Family,Richard Abanes,"Fantasy and Your Family by bestselling author Richard Abanes presents a much-needed assessment of fantasy - its benefits and its drawbacks. Abanes begins with an in-depth look at folklore, myths, legends, and fairy tales, and their connection to fantasy. Part one also discusses issues involving child development, the affects of literature on children, and how those affects can ultimately change the course of society. Additionally, Abanes examines pop culture, the media, mass marketing, and the commercialization of children's literature by corporations interested primarily in making money. This volume then looks at the life of fantasy writer J.R.R. Tolkien, the popularity of his fantasy works, their content, and what separates them from other fantasy volumes such as Harry Potter by J.K. Rowling and the children's horror books by R.L. Stine. A particularly interesting survey of Tolkien's The Lord of the Rings includes a thorough analysis of its storyline, characters, and morality. These are compared side-by-side with Harry Potter. Finally, Abanes gives an overview of our culture's growing obsession with the occult, paganism, and witchcraft. Why is it happening? When did it begin? How is it influencing today's youth? All of these questions are answered through a concise, easy-to-understand writing style. Especially fascinating are the numerous sources of documentations that shows children are indeed being drawn to the occult via Harry Potter. Included are dozens of quotes by Wiccans, neopagans, and occultists that clearly express their belief that Rowling's fantasy will do much to further witchcraft and the occult. - Amazon.",Education,https://books.google.com/books/content?id=1_KmBsGozhkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
IfuoOQAACAAJ,Dr. Vermont's Fantasy (1896),Hannah Lynch,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.",,https://books.google.com/books/content?id=IfuoOQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
-zOWEAAAQBAJ,Snow So White,C. Gockel,"Once upon a future-time, in a city of steel, concrete, and Magick, a wicked queen trapped a mighty warrior with a curse ... In the tiny village of Somer, far from the city, Cherie knows nothing of the evil spell. Her home is a safe, Magickal place. The Fae travel freely along its roads, Magickal humans and animals are welcome, and everyone is hidden from the Queen’s sight by Jack Frost, the local ghost, who blurs the Queen’s mirror with snow and ice. But when Jack’s spell begins to crack, the Queen’s eyes fall on Somer. Nothing will keep her from abducting all of Somer’s Magickals, not even a war with the Fae. To avert a war, save her village--and herself--Cherie strikes a perilous bargain. Aided only by Jack and her own small Magick, she’ll set off on a quest … If she fails, she’ll lose more than her life. A retelling of Snow White and Rose Red with Urban Magick, plenty of folklore and mythology, and a Princess Charming. Perfect for fans of Naomi Novik’s Uprooted and Spinning Silver. Keywords: FREE Urban Fantasy, Fairy Tale, Snow White, Urban Fantasy Vampire, Vampire, Urban Fantasy Greek Gods, Greek Mythology, Urban Fantasy Fae, Elves, Magical Dystopia, Magic, Sweet Romance, Dragon, Irish Mythology, Demons",Fiction,https://books.google.com/books/content?id=-zOWEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
wSw1EAAAQBAJ,We Seek No Kings,T. Thorn Coyle,"In a world of djinn, elf, yakshini, and troll, one woman has only her sword. Jenny rides hard, fights hard, drinks hard, and lusts hard. A motorcycling Knight of the Steel Clan, she is sworn to protect the autonomous township of Go No More. But trouble stalks the land, carrying the stench of rotting corpses left for crows. After the Great Reckoning, the sideways realms grew closer. Magic returned to the human world. In this time of magic, Jenny has none. Her comrades say they trust her, but does Jenny trust herself? Anandita wants only to raise her child, gather her herbs, and help those in need. Still mourning her disappeared partner, she avoids Jenny's heated gaze and goes about her work, tending to the township's bodies and hearts. But who will tend hers? Jenny and Aanandita are challenged to rise beyond their fear and sorrow. The Knights must ride. They ride for Go No More. Xena, Warrior Princess meets Sons of Anarchy in this post-apocalyptic epic fantasy adventure!",Fiction,https://books.google.com/books/content?id=wSw1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
PIwvEAAAQBAJ,Heart of Lies,Connor Whiteley,"A Group of Assassins. A Conspiracy to Assassinate the Queen. One Team to Save The Land. Now working for the Queen, Alessandria Fireheart hunts for the truth. No matter where it may lead. When a mysterious group attacks the Queen, Alessandria Fireheart and her team must find the Conspirators. Before the country she loves burns. But can she find the truth amongst the web of lies? Or will the Conspirators force her to watch everyone she loves die? If you love enthralling action-packed urban fantasy adventures with strong interesting characters that will keep you reading late into the night. You will love this book. BUY IT NOW!",Fiction,https://books.google.com/books/content?id=PIwvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
3P_LDwAAQBAJ,Mountain and Ash: A YA Epic Fantasy Romance Novel,Megan O'Russell,"The Guilds are not her only enemy. Ena has pledged herself to the Black Bloods’ cause, spending months saving children from the grips of the Sorcerers Guild. But freedom demands a steeper price. Following her heart has led Ena through danger and to a sanctuary she never dreamt existed. Surrounded by magic, a future free of blood and pain seem within her grasp. But hope and love have never been a part of her story. As danger haunts her home, a powerful force demands her aid in murder. Refusing will endanger everyone she cares for―taking an innocent life is more than her soul can bear. When death comes for Ena, will she lose her heart or her life? *** Ena of Ilbrea is an epic fantasy series perfect for fans of A Court of Thorns and Roses, Throne of Glass and Maas, Yarros, and Bardugo. If you’re ready for an epic love story, crave a dose of magic, and need an adventure to carry you away from the ordinary, join Megan O’Russell’s 750,000+ satisfied readers. Download Mountain and Ash, and begin your journey now! This series features sibling rivalry, lgbtq+ characters, sorcery, elemental magic, class differences, and soul-rending love. *** Mountain and Ash is perfect for fans of Fourth Wing and Rebecca Yarros, Leigh Bardugo, Sarah J. Maas, Jennifer L. Armentrout, Elise Kova, Kay L Moody, Sarah M. Cradit, W. J. May, Laini Taylor, Sara C. Roethle, Bridget E. Baker, and Jennifer Anne Davis.",Young Adult Fiction,https://books.google.com/books/content?id=3P_LDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
edYUAQAAIAAJ,St. James Guide to Fantasy Writers,David Pringle,"Concise discussions of the lives and principal works of writers of various forms of fantasy, including heroic fantasy, sword and sorcery, humorous fantasy, adult fairy tales and fables, and children's fantasies still popular with adults. Written by subject experts.",Literary Criticism,https://books.google.com/books/content?id=edYUAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
K66BAAAAMAAJ,Dragons of Fantasy,Anne C. Petty,"Are you a dragon lover? One of those people like J.R.R. Tolkien who have always desired dragons of one sort or another? If your answer is yes, then get in line with devoted dragon fans like author Anne Petty, who has been reading and thinking about dragons for years, especially as they appear in fantasy fiction. Petty asks, ""What is a dragon? What does it look like, and how does it behave? What image pops into your mind when you read the word dragon?"" You are invited on a quest for dragons of fantasy literature, for an in-depth look at the scaly characters on the page and the skilled writers who created them. A longtime dragon admirer, Tolkien scholar Petty takes readers on an adventurous ride over the hills and far away into realms populated by the likes of Smaug, Ramoth, Norbert, and Orm Embar, just to name a few. Authors under discussion include J.R.R. Tolkien, Anne McCaffrey, Terry Pratchett, Ursula Le Guin, Jane Yolen, Terry Goodkind and J.K. Rowling. there's also an in-depth background section on the history of dragons in myth and literature, plus an extensive bibliography. Happy dragon hunting! - Back cover.",Literary Criticism,https://books.google.com/books/content?id=K66BAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Y_eO0QEACAAJ,The Island of Fantasy,Fergus Hume,"Embark on a mesmerizing journey to The Island of Fantasy, where romance, intrigue, and adventure await in this captivating tale by the renowned master of mystery, Fergus Hume. In this enchanting story, Hume weaves a narrative that explores the power of love, the allure of escape, and the complexity of human desires. Set against the backdrop of a mysterious, idyllic island, the novel follows a young couple whose passion and dreams lead them to a place where reality and fantasy blur. Amidst the lush beauty of the island, the characters are faced with both the magic and the danger that come with chasing one's deepest desires. As secrets are uncovered, and emotions run wild, the couple must navigate through obstacles that test their love and their ability to distinguish between illusion and reality. The Island of Fantasy is more than just a love story-it's an exploration of the human condition, of dreams and disillusionment, and of the timeless question of whether true happiness can be found in an idealized world. Hume's masterful storytelling, filled with vivid imagery and emotional depth, creates an atmosphere where every moment feels both whimsical and poignant. Perfect for readers who enjoy classic romance with a touch of mystery, The Island of Fantasy will sweep you away into a world where love and adventure are both thrilling and unpredictable. Get lost in this unforgettable romance that will leave you questioning whether the world of fantasy can ever truly be your own.",Fiction,https://books.google.com/books/content?id=Y_eO0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
R9eaPwAACAAJ,"Little, Big",John Crowley,"Edgewood is many houses, all put inside each other, or across each other. It¿s filled with and surrounded by mystery and enchantment: the further in you go, the bigger it gets. Smoky Barnable, who has fallen in love with Daily Alice Drinkwater, comes to Edgewood, her family home, where he finds himself drawn into a world of magical strangeness. Crowley¿s work has a special alchemy - mixing the world we know with an imagined world which seems more true and real. Winner of the World Fantasy Award, Little, Big is eloquent, sensual, funny and unforgettable, a truly Fantasy Masterwork.",Fantasy fiction,https://books.google.com/books/content?id=R9eaPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
wJYvEAAAQBAJ,Savior's Hex: A Werewolf Mate Urban Fantasy Romance Novel,Gwen Rivers,"Autumn in New York has never been so beautiful...or so deadly. When a notorious fae-hating celebrity dies under mysterious circumstances, the police suspect the forever young. Spellcaster Emma Slade and Alpha werewolf Liam Cooper launch their own investigation into the crime. Bad PR could poison public opinion faster than gas station sushi. But how can they catch a murderer not bound by flesh? Supernatural problems have magical solutions.... With hate groups sprouting up like hair on a werewolf's backside, Emma and Liam must provoke the gods into revealing a closely guarded secret. With every mortal body susceptible to the power of possession, how long before friend becomes foe? And will Emma's life magic be enough to save the one she loves most? Return to the streets of the sixth borough and revel in the magic! The Spellcaster series Book 1: Savior's Spell Book 2: Savior's Hex Book 3: Savior's Curse Related Series: The Unseelie Court",Fiction,https://books.google.com/books/content?id=wJYvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
