,Review
1843,"i saw the movie in a theater when it first came out. i was a teenager and, although i believed it to be primarily a girl's movie, i did enjoy it. i've seen it several times since then, and it still has not lost its charm. when i finally did read the book, i was disappointed that the movie didn't follow it more closely. to me, these are two different stories. the holly in the movie is likeable; the novella's holly is a harpie who cares for no one or nothing else. (when my wife saw the movie, she remarked that holly was, ""an idiot."") however, the book's storyline is more interesting...more haunting, and the book's ending is more intriguing. the movie ends as a love story. the book is much more. and, oh yes, whatever you may think of capote as an individual, the guy was a damn good writer
"
1815,"i am married to a native new yorker and we spent an entire weekend looking over this book and talking about many of the wonderful places it mentions, many of which we still visit today. as an extra bonus for avid cooks, there are recipes. for anyone who remembers luchows or any of the other venerable, now closed restaurants the book mentions, it will take you back to happy times and good memories. it's an excellent book and clearly schwartz has poured a great deal of research into what is his labor of love.
"
910,"oh my, all the terrible reviews for this book are true!!  ms. steel is excessively repetitive....i mean excessive.  ms. steel goes into too much background on the characters way too early in the book...and she continues to repeat this information over and over and over and over...you get the picture.  i too found myself saying, ""okay, we get it already...""  i also agree with one of the reviewers who mentioned the bonding experience the men had.  i don't know the men ms. steel knows and hangs out with, but she had these me talking about their feelings with each other, as well as how their dysfunctional pasts had affected them.  oh please, no man on earth talks that way.  especially to other men.  this book is completely aweful.  the plot is so slow and does not grab the readers attention.  i have read many of ms. steel's books and i believe this one is her worst.  i have now started reading sandra brown and she is sooo much better.  i recommend ""the alibi.""  so far that has been my favorite by her.  she has mystery, suspense, romance...  her words are so much more descriptive and interesting than ms. steels.  to sum it up, i was completely disappointed with the book ""toxic bachelors.""  i highly recommend sandra brown, she is a much better author
"
1346,"this book provides great insight on modern business development concepts and design techniques.  the framework provided will save hours of time spent building common libraries or frameworks.  the industry support via codeplex and the csla forum site speak volumes of the value it provides. 
"
797,"ms. phillips certainly knows how to tug at those heart strings!  i felt as though i were right there with mac and sammy jo, feeling the emotions they felt.  this is a great story that proves that true love can happen when  it's least expected and that true love always prevails.  i recommend this  book to any romance lover
"
1889,"i admittedly have not completed the full book, as it is thick.  however i do find that the narrative focuses on the reactive rather than the proactive tools needed for dfss.  for example almost all the examples given in section 2 talk about an existing system or process and there doesn't seem to be any design examples and how the stats are used to solve the design problems.  i therefore think the book is more about six sigma than dfss.

barry
"
413,"i wasn't aware the only swords that existed and were noteworthy enough to grace the pages of an encyclopedia were european. seems to me much is left out by ignoring the eastern blades
"
1600,"i'm a fan of dave barry, i enjoy his column, i enjoyed some of his books in the past, and i bought this one with great anticipation. boy was i disappointed! the story is meaningless, the characters are not interesting, the events are mostly dumb and the dialog is uneven and unfunny.

do yourself a favor, do not read this book! i can't believe anyone recommends it
"
990,"it took cancer to wake me up.  i now do everything i can to inform my family and friends of the of the importance of a health lifestyle and eating habits.  this author also wrote ""what you don't know may be killing you""  these two books are great to accidently leave at a loved ones home.  they are filled with tons of improtant messages and very easy to relate to examples are given that help you understand what actually is happening to your body. my dad has gone from drinking no water to probably half of what he needs but this is a start, he will read more the next time i leave another book by accident...  this author is great! 
"
956,"there's no much to say about this book. everything is already said. and it is still the best book in the field. well done, nancy!!!
sead malicevic, m
"
790,"i have always been a prolific reader and rarely do i come across a book for which i can find no value, no redeeming qualities. but i must extend a hearty congratulations to julia barrett for writing the most astounding piece of horse excrement i have ever had the misfourtune to purchace. teachiing my cat to walk repeatedly over my keyboard would produce a work of more sense. if you are like me and just have to read it - just because you're obsessed with austen - buy it used for 45 cents and then burn it
"
1416,"this is for sure a great book, if you have the ability to concentrate for more than five minutes, unlike the majority of the herd, in mean people, of today.  if your intrest lies in the substance of this book, read some other review, i'm only going to tell you that, the (1909) publication, stinks; the so called book, is more like a oversized magizine, and the print is about the size of a footnote in the bible
"
552,"trauma can occur for a wide variety of reasons. in my family across two generations there have been suicides, schitzophrenia, abandonment and childhood abuse. we are a, so called, 'normal' middle class family. no family is immune from traumatic episodes. 
i found peter levine's ideas insightful and helpful. his outline of the causes of medical trauma are particularly interesting. 
the chapters dealing with trauma in children help me consider avenues of assistance to help my grandchildren following the suicide of their mother.  i would like to read levine's subsequent book about childhood trauma
"
1545,"this book was amazing!  i'm giving it to my dad for helping me through college!  great gift for parents and children! 
"
539,"this is the best book. i was writing a book about my son who has si dysfunction. he is 23 years old now. i was in barnes and noble looking for another book when i found this. i was blown away. i never knew there was a book like this. i could have really used this book when marcus was little. it is so wonderful. i opened it and started reading about my son. my book is called what's wrong with my child? struggling with sensory integration dysfunction. it is only a mother's story of how my child coped with this thing. it is not meant to be a book like carol stock kranowitz's. her book is wonderful. anyone who has any questions about their child who has si dysfunction. this book is it. shelly r. wilso
"
133,"abby cooper has become my favorite amateur pi. the premise of this series, a young woman private detective who has strong psychic abilities which she uses to solve cases, is original and fun to read. abby is a psychic, but she also has the same trials and tribulations of a normal young woman, money, sibling and romance issues. in this latest book, abby, her sister cat, and abby's handyman dave, buy and plan to renovate a house, only the house turns out to be haunted! poor dave, abbey's partner and handyman, is attacked by his own chainsaw as he begins the renovation! determined to find out what's going on, abby begins investigating the history of the home and discovers a missing treasure with ties to wwii nazi germany. in order to solve the mystery, abby depends on her spirit guides to help her on the case. there is danger for abby and her friends from an unknown stalker and the romance between abby and dutch becomes more intense as they each must sacrifice some of their independence to become a real couple. ms. laurie has a great series going here, and i look forward to reading more abby mysteries.
"
859,"richard fortney's ""earth"" is a survey, in mostly layman's terms, of the geological history of the earth and how it relates to humankind.  fortney tells the story by means of a journey around the earth, selecting a series of locations where the earth's geology is apparent, and usually the meaning of that geology was debated by scholars to a greater understanding.  

fortney starts at mount vesuvius in italy, preceeds to the hawaiian islands, hence to the swiss alps and to other locations aroudn the world.  fortney relates the geology of each chosen location to plate tectonics as a means to explain how each terrain come to be the way it is.  this leads into extended and sometimes fascinating discussions of the former alignements of the continents in prior ages such as the ""supercontinent"" of gondwana.  for each location, fortney also relates the effects of the terrain on the history of the humans who have lived in that location.  along the way, fortney drives home the sheer vastness of the timescale of earth and its geological processes.  the dedicated reader will view his landscape with a new perspective.

fortney is a gifted writer with a good eye for the illustrative anecdote.  large portions of this book will be fascinating to the reader with at least some schooling in the sciences.  it turns out, for example, that the complicated geology of newfoundland results from its origin as pieces of three different tectonic plates (north america, ocean bottom, and northern europe).  the descriptions of northwest scotland as the remains of truly ancient mountains are put into appropriate scale in part by fortney's historical anecdotes and by his experiences of rockhounding in the often cold rainy weather of the scottish highlands.

the narrative runs a little long at over 400 pages, and fortney's explanations will sometimes outrun the scientific background of the average reader.  nevertheless, this book is highly recommended to the reader with at least a casual interest in geology and its links to human history
"
1190,"stephen hawking has crafted a masterpiece that requires only two qualities of the reader: patience and an open mind.  for those willing to take the (often substantial) time required to digest the material and accept (or even challenge) it, a awe inspiring world awaits.  this book is rightfully one of the best selling books of all time, and a must read for anyone who has any interest in the world around them
"
1079,"whether you're planning to read through crowley's book of thoth for the first time, or if you think you know every little thing crowley was getting at with it, this book is going to be equally useless to you. several of crowley's diagrams from the book of thoth are reprinted in this book much more clearly, but sadly that's the only good thing about this book. 

the book is filled with a lot of fluff. duquette tells many useless anecdotes of crowley's and harris' lives, and constantly excuses and defends crowley's character against those who would consider him a devil worshiper. duquette explains in the book that he initially thought that when he first found crowley's works, so perhaps its some sort of atonement. but the argument really has no place in a book like this where the reader has already come to terms with crowley's character.

through out the book of thoth crowley constantly alludes to and makes references to other works and various myths and systems. having a reference book that explained all of these things would be an invaluable aid. unfortunately duquette doesn't do this. his background information is base and scarce. he does spend some time explaining about thelema and kabbalah, but as one would expect from a chapter long explanation of subjects like this, duquette doesn't give nearly enough information to understand crowley's works, and what he does give is easy enough to find elsewhere.

as for offering anything knew or shedding some understanding on crowley's work, duquette outright fails. at times it seems as if duquette doesn't even understand crowley or the book of thoth and the associated tarot deck. i don't think the man even understands tarot in general (and duquette's own tarot deck is evidence of this too). at his best, duquette only manages to rephrase what crowley had to say in the book of thoth. typically though a lot of what crowley was getting at is complete lost in duquette's work, a lot of it no doubt because duquette never really understood crowley at anything but a very base level.

reading through the book of thoth, there are a few ways in which duquette could have made his book better. crowley's phonetic translation of the i ching doesn't follow the current standard, and sometimes the differences are confusing, especially if the reader is not already familiar with the i ching. a key showing crowley's translation and the standard translation would've been helpful. likewise crowley rarely wrote on astrology, despite astrology being alluded to many times through the book of thoth, and what he did write is hard to find. a chapter explaining crowley's views on astrology would've been great. if that wasn't possible, then a list of books on astrology that were similar to what crowley was working with would have been helpful. however duquette's solution is to just tell the reader to go find some books on astrology to read.

duquette's book isn't useful as a reference to crowley's work. duquette doesn't seem to understand crowley most of the time, and fails to adequatley explain crowley's ideas. besides some new-agey nonsense, like assigning celebrities to the court cards based on their birthdays, duquette doesn't offer any new ideas or insights into crowley's work. except for a few nice diagrams (which are common enough and easy to find), there isn't anything worthwhile contained in this book. at least not anything you won't get out of reading crowley's book of thoth
"
1329,"i think the most striking part of this book is that you feel comforted by the fact that the problems you're facing in your own relationships are commonplace. they're not dysfunctional. every family has its share of issues and you don't need to feel overly guilty for yours. the book's underlying theme is that families that honesty, consideration, character, belief and perhaps above everything else - resilience, can get you through the worst debacles and that at the end of the day it's probably (though not always) worth the effort.

stories include:
resentment about controlling parents who appear to display conditional loving and also about appreciating how much of their lives parents sacrifice to bring the kids up; the search for redemption after abandoning a kid or cheating on a wife, the courage required to break relationships that are dead and the perseverance required to bring one back from the dead (and the effect on kids), dealing with the families of your in-laws and family objection to marriage, how to deal with kids who are falling into bad habits when you feel powerless to influence their decisions because they no longer respect you or listen to you, dealing with the death of a child, how we feel obligated to spend time with our families rather than actually wanting to spend time with them and what we are losing, etc.

although it may seem that most people cannot relate to these situations... actually i felt an amazing amount of empathy for the families and came away with a renewed conviction that i can get the perfect family life (with all it's frustrations and headaches) and balance it with everything.

if you have any relationship, friendship that you have a certain amount of frustration, resignation about then i strongly recommend this book. it is one of those books that if it hits you at the right time - it could change your relationships and your life
"
72,"as mentioned, this book is amazingly compact, cramming three semesters of calculus and a bit of ordinary differential equations into just 800 pages. that conciseness also implies that much explanatory material and many illustrative examples are missing.

the authors mention in the preface that ""classifiers of calculus books would call this a traditional book. most theorems are proved or left as exercises to prove..."" nearly every result in this book has an accompanying proof. for those with a serious interest in mathematics, this is a useful resource. for most others, the presence of so many proofs can be overwhelming and probably is a turnoff.

included with the book is a one-page detachable reference card containing a massive amount of valuable information, including common rules for derivatives and integrals, geometric formulas, a few conversion factors, trigonometric identities and graphs (very useful!), and more. the book also has a three-page comprehensive table of integrals in the inside back cover and a listing of geometric formulas in the front, along with a commemorative timeline and portraits featuring the deceased european males who made calculus possible.

given all of this, i would highly recommend this book as an 800-page calculus reference text, or maybe as a text in an honors calculus sequence that expects to use the text throughout multiple semesters - then using it saves you money.

but for those who don't have a super-strong background or interest in math, those who are just taking calculus for a requirement or those who have never seen calculus before, or for those who are just plain math-phobic - using this book just doesn't make any sense. i wouldn't recommend it.

for those who are stuck with this book for a course, i'd suggest looking for another book to help you out. one possible book has already been mentioned in another review: silvanus thompson and martin gardner's ""calculus made easy"", a book that dates back originally to 1910 (!). i've read parts of it, and the book looks good to me.

i'm sure that there are many other helpful books; try checking your local/university library or looking on amazon for ideas. an extra calculus textbook that's more student-friendly might be a good idea.

as for the pages falling out, i haven't had a problem with it (i have the 8th edition), but i don't use the book all that much.

i haven't found any serious errors in the text, but i haven't read everything thoroughly, having only used the text for calc iii.

and, yeah, getting the student solutions manual would probably be a good idea
"
1251,"this book started well, but fell flat in the middle. what little conflict there was in the beginning was resolved halfway through. even the shooting incident couldn't manage to hold my interest because it was resolved so quickly.

well, i didn't bother to finish it--i have limited time for reading, and i don't like to waste it.

"
1246,"i loved this book.  it talked about every facet of the stock market, but didn't go overboard with jargon.  i knew absolutely nothing about stocks and after reading this book i am ready to learn more.  it was well written, interesting, and, unlike some investing books, the author was not trying to sell anything.  this is the perfect book for anyone who wants to invest but has no knowledge of the subject.  i really enjoyed this book
"
1759,"""ha ha ha hah ha hah!""  that's stirling laughing all the way to the bank.  or at least i hope that's what he is doing.  but sadly i suspect he more likely feels his wiccan/sca/dnd-infused vision of a post-apocalyptic society is a reasonable, nay, likely path we'll follow should selective physical laws break down.  quick!  stop me!  i feel the need to wave my sword, sing a gaelic song, and break out my cauldron!  the genre requires we make a leap of faith.  and as a fan of the genre, i do so willingly.  but having made the leap, it is annoying at best to be forced through this ""tolkein as faith"" drivel.  but as i will likely read the entire series (remember, i love the genre) i have to hope that stirling leans towards the ""thanks for the buck buddy"" and is himself laughing at us all.  but a picture is worth a thousand words and his mug on the inside cover tells me he believes this nonsense!

my recommendation?  read the book.  laugh a bit.  maybe laugh a lot. but do this with the library's copy, not one you paid for
"
249,"tony kern has managed to pull together the wisdom and experience of  &quot;the best&quot; pilots around. his use of case studies of real pilots  and real situations includes examples from the military, commercial, and  geneal aviation communities. in short, the book is useful for any pilot  whether they are working toward their private pilot license or are employed  as a senior airline captain. for many pilots, it will reinforce what they  already know and practice but for many, it will provide the opportunity to  become &quot;old&quot; pilots.  if you fly, read the book
"
637,"i love danielle steel! i`ve read all of her books so far.but secrets was a big disappointment to me.as far as i am concerned,ms.steel tried to change her style of writing in this book more to the kind of judith krantz or jackie collins (some explicit ""parts"" i didn`t like at all).simply not the danielle steel we like. the story itselfs is ok(gives the readers some ""insights"" behind the scenes of hollywood)but....
some of her books i`ve read over and over again. i am not going to touch secrets for a second time,however
"
789,"following up on the success of the chocolate chip cookie murder, this is the second volume in the hannah swenson murder mysteries.  here again, we find hannah coping with the brutal minnesota winter when the unthinkable happens.  hannah finds a body!  the local high school coach and secret wife beater is found dead face down in hannah's strawberry shortcake.  his wife certainly has a motive, but is she the real killer?  the police are inclined to think so, but hannah certainly does not.  with the aide of her sister, andrea, she sets out to find the real killer.  many suspenseful twists and turns follow as hannah and andrea proceed on their relentless mission to free an innocent woman.  will they succeed and find the real killer?  only in the last few chapters will you find out the answer to this riddle.

once again, author joanne fluke has surpassed herself with another excellent novel.  the cozy and inviting atmosphere found in the first novel continues here against the backdrop of the cruel minnesota cold.  many delicious recipes are included so you can share the experience right along with hannah and her friends.  her strained relationship with her mother continues as her friendship with norman grows and her closeness to her sister andrea deepens.  the novel keeps you in suspense right up until the very end providing an exhilarating mystery ride.  this is a novel not to be missed.  very highly recommended.

smash 
"
1725,"abel's island is about a mouse named abel.  he encounters a hurricane that separates him from his wife.  after the storm, he ends up on an island where he cannot escape because of the current surrounding the island.  he tries many ways to return to the place he loves, but all fail.  about a year after countless attempts to leave the island, a frog appears by accident. gover, the frog, becomes friends with abel and says he will come back with people to help abel.  abel's plans to return were very interesting.  his methods were very creative so it held my attention.  my favorite part was when he was fighting the owl.  i found a similarity between abel and stuart little. both had to navigate water. stuart little was successful, but was abel?  read the book to find out.  
"
1678,"i have introduced many of my ell, high school students to lois lowery and the depth of her characters. she is a brilliant writer and capable of inspiring fierce passion in her readers as they encounter shocking details of her utopian worlds. i was anxious to read this companion novel and had planned to share it with my class this january. although the series is written for 6th graders and older, this book's simplicity, in its message, language and writing style will inspire no one.  i am sadly disappointed
"
739,"college stoner cult following aside, hunter s. thompson's journalistic prowess was a vital national resource up until he left us last february.  thompson was one of those brave few who dared to cut through popular media perceptions and glittery rhetoric and travel right to the ugly center of his subject material, counjouring hilarious allegories where the average journalist would already have soiled himself in disillusionment.  

on the campaign trail should be required reading for all those who hold a less skeptical view of american politics than say, the average wwe heavyweight title match, for a truly sane person should be no more shocked to hear of a politician lying or cheating to increase his presidential hopes than when the undertaker strikes his opponent with a steel chair when the referee turns his back.  hunter has long since traveled through this looking glass -- although he can at times be found expressing nostalagia for the wide-eyed optimism of the 60s -- but the result is not nearly as depressing as it is hilarious.  the image of thompson infiltrating the nixon youth at the rnc and yelling obscenities and death threats at rival journalist john chancellor's press box while surrounded by hundreds of kids chanting ""four more years!"" was one of the funniest any book has offered me in a while.

how does the cliche go -- ""the more things change, the more they stay the same""?  after the thorough spanking of george mcgovern at the hands of richard nixon, hst credits the most staggering blow to mcgovern's presidential hopes to a media crisis involving his vice-presidential nominee, thomas eagleton.  just days after eagleton was named as mcgovern's running mate, two democratic campaign managers received phone calls revealing that eagleton had gone through intensive psychiatric treatment on three separate occasions.  as the story spread like wildfire throughout the press, mcgovern's presidential hopes were dealt a blow from which they would never recover.  since then, we've seen willie horton and the swift boat veterans come out to haunt their respective candidates, and one is inclined to wonder who the democratic ""mascot"" will be for the 2008 race.  perhaps a mentally disabled child whose tricycle was crushed by the car of hillary clinton?  a dominican prostitute who gave joe biden the clap?

but i digress.  i give on the campaign trail 4 out of 5 stars because the book, like presidential campaigns themselves, can at times seem uneventful.  thompson addresses this from time to time, wondering aloud what it was that made him want to cover politics in the first place before remembering that the rush one feels from being a part of a winning political team is nearly identical to that of a junkie getting that long-needed fix.  other parts of the book will only make sense to the more hardcore followers of politics.  for instance, hst's extensive interview with campaign manager rick stearns, where stearns explains the intricacies of acquiring state delegates, reads like hieroglyphics to me.
"
899,"noah webster's book is fascinating reading for today's students and teachers alike, as well as for the average citizen, as there is much to learn from it.  while it may be inappropriate to resurrect it as an  official school text, it certainly has a place in every school library.   one of the most notable features is the comprehensive phonetic system used,  with diacritical marks (accents) applied to all relevant vowels and  consonants; words are divided according to syllables and stress.  it also  spells the names of letters of the alphabet; something which tends to be  ignored in modern teaching.  the terminology of traditional grammar is  used, and there are copious word lists, with words grouped according to  common factors. i have no hesitation in recommending this book to all  students of the english language for the above reasons and for many other  interesting aspects (now-archaisms:thy/thou...; foreign words and phrases;  abbreviations explained; punctuation; etc).  this book should remain a  spelling classic
"
83,"i agree with the reviewer who said this work is boring. it seems roth is trying to glorify philip roth and not the characters. he goes on and on describing the overwhelming feelings zuckermann has for ""the swede"", without letting us know who the swede really is. roth should let the characters tell the story or try to use less erudition in his narration.
it gets to the point where the reader loses interest in finishing the book. i loved the plot against american because it was more character based than philosophizing about about the historical context of the times
"
